networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:02:30.000,2023-12-11T22:34:42.901
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:07:30.000,2023-12-11T22:34:48.204
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:12:30.000,2023-12-11T22:34:53.065
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:17:30.000,2023-12-11T22:34:58.446
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:22:30.000,2023-12-11T22:35:03.455
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:27:30.000,2023-12-11T22:35:08.606
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:32:30.000,2023-12-11T22:35:13.548
14484CA7BED21,,,,7.0,24.0,"1,4",cfg,2023-12-11T22:33:27.904,2023-12-11T22:33:28.396
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:37:30.000,2023-12-12T02:02:08.490
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:42:30.000,2023-12-12T02:02:12.469
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:47:30.000,2023-12-12T02:02:16.317
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:52:30.000,2023-12-12T02:02:19.907
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T22:57:30.000,2023-12-12T02:02:23.628
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:02:30.000,2023-12-12T02:02:27.996
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:07:30.000,2023-12-12T02:02:31.309
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:12:30.000,2023-12-12T02:02:35.544
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:17:30.000,2023-12-12T02:02:39.164
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:22:30.000,2023-12-12T02:02:42.902
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:27:30.000,2023-12-12T02:02:46.744
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:32:30.000,2023-12-12T02:02:50.989
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:37:30.000,2023-12-12T02:02:54.389
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:42:30.000,2023-12-12T02:02:58.318
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T23:47:30.000,2023-12-12T02:03:02.277
